metallicity log_age   i_mass   c_mass log_lum log_teff log_g  m_bol  ...   v      r      i      j      h      k     int_IMF   stage
----------- ------- ---------- ------ ------- -------- ------ ------ ... ------ ------ ------ ------ ------ ------ ---------- -----
     0.0152     9.0        0.1    0.1 -2.9107   3.4983 5.2878 12.047 ... 14.287 13.053 11.537 10.181  9.632   9.37 1.57040203     0
     0.0152     9.0       0.12   0.12 -2.6559   3.5259 5.2226  11.41 ... 13.219 12.118 10.819   9.61  9.055  8.808 1.74782515     0
     0.0152     9.0       0.14   0.14 -2.4834   3.5413 5.1788 10.978 ... 12.589 11.543 10.357  9.218  8.655  8.415 1.89584959     0
     0.0152     9.0       0.16   0.16 -2.3495   3.5518 5.1448 10.644 ... 12.126 11.115 10.002  8.908  8.338  8.106  2.0211525     0
     0.0152     9.0        0.2    0.2 -2.1485   3.5654 5.0951 10.141 ... 11.478 10.505  9.474  8.425  7.848  7.642 2.22178221     0
     0.0152     9.0       0.25   0.25  -1.962   3.5762 5.0488  9.675 ... 10.896  9.952  8.989  7.977  7.392  7.207 2.40809011     0
        ...     ...        ...    ...     ...      ...    ...    ... ...    ...    ...    ...    ...    ...    ...        ...   ...
     0.0152     9.0 2.30680323 2.3068  2.7326   3.6205 1.4963 -2.061 ... -1.316  -2.05 -2.672 -3.603  -4.35 -4.458 3.28387952     7
     0.0152     9.0 2.30697584  2.307  2.7643   3.6179 1.4542 -2.141 ... -1.368 -2.112 -2.745 -3.688 -4.443 -4.554 3.28388643     7
     0.0152     9.0 2.30714583 2.3071  2.7991   3.6149 1.4076 -2.228 ... -1.423  -2.18 -2.824 -3.781 -4.546  -4.66 3.28389311     7
     0.0152     9.0 2.30731654 2.3073  2.8374   3.6117 1.3564 -2.323 ... -1.485 -2.254 -2.911 -3.883  -4.66 -4.777 3.28390002     7
     0.0152     9.0 2.30746937 2.3075  2.8815   3.6079 1.2971 -2.434 ... -1.555  -2.34 -3.012 -4.001 -4.791 -4.912 3.28390598     7
     0.0152     9.0 2.30749989 2.3075  2.8926   3.6069 1.2821 -2.462 ... -1.572 -2.361 -3.037 -4.031 -4.824 -4.946 3.28390718     8
Length = 199 rows
